"a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b"
-1.9,-16.02,-1.9,13.39,-1.9,-9.852,-1.9,-26.32,-1.9,-9.852,-1.9,-23.77,-1.9,-25.8,-1.9,24.74,-1.9,11.81,-1.9,20.61
-1.8,-14.63,-1.8,11.85,-1.8,-9.258,-1.8,-23.79,-1.8,-9.258,-1.8,-21.66,-1.8,-23.24,-1.8,22.12,-1.8,10.18,-1.8,18.33
-1.7,-13.32,-1.7,10.38,-1.7,-8.721,-1.7,-21.41,-1.7,-8.721,-1.7,-19.69,-1.7,-20.82,-1.7,19.64,-1.7,8.619,-1.7,16.16
-1.6,-12.11,-1.6,8.99,-1.6,-8.245,-1.6,-19.17,-1.6,-8.245,-1.6,-17.86,-1.6,-18.54,-1.6,17.29,-1.6,7.115,-1.6,14.11
-1.5,-11.,-1.5,7.667,-1.5,-7.833,-1.5,-17.08,-1.5,-7.833,-1.5,-16.17,-1.5,-16.42,-1.5,15.08,-1.5,5.667,-1.5,12.17
-1.4,-9.983,-1.4,6.411,-1.4,-7.491,-1.4,-15.15,-1.4,-7.491,-1.4,-14.62,-1.4,-14.43,-1.4,13.01,-1.4,4.269,-1.4,10.33
-1.3,-9.068,-1.3,5.222,-1.3,-7.226,-1.3,-13.37,-1.3,-7.226,-1.3,-13.22,-1.3,-12.6,-1.3,11.06,-1.3,2.914,-1.3,8.602
-1.2,-8.26,-1.2,4.093,-1.2,-7.047,-1.2,-11.75,-1.2,-7.047,-1.2,-11.97,-1.2,-10.91,-1.2,9.247,-1.2,1.593,-1.2,6.973
-1.1,-7.567,-1.1,3.022,-1.1,-6.965,-1.1,-10.29,-1.1,-6.965,-1.1,-10.9,-1.1,-9.379,-1.1,7.561,-1.1,0.2945,-1.1,5.442
-1.,-7.,-1.,2.,-1.,-7.,-1.,-9.,-1.,-7.,-1.,-10.,-1.,-8.,-1.,6.,-1.,-1.,-1.,4.
-0.9,-6.573,-0.9,1.018,-0.9,-7.176,-0.9,-7.892,-0.9,-7.176,-0.9,-9.304,-0.9,-6.781,-0.9,4.559,-0.9,-2.316,-0.9,2.638
-0.8,-6.31,-0.8,0.06,-0.8,-7.53,-0.8,-6.98,-0.8,-7.53,-0.8,-8.84,-0.8,-5.73,-0.8,3.23,-0.8,-3.69,-0.8,1.34
-0.7,-6.246,-0.7,-0.8971,-0.7,-8.123,-0.7,-6.287,-0.7,-8.123,-0.7,-8.654,-0.7,-4.859,-0.7,2.001,-0.7,-5.183,-0.7,0.08286
-0.6,-6.44,-0.6,-1.893,-0.6,-9.053,-0.6,-5.853,-0.6,-9.053,-0.6,-8.827,-0.6,-4.187,-0.6,0.8533,-0.6,-6.893,-0.6,-1.173
-0.5,-7.,-0.5,-3.,-0.5,-10.5,-0.5,-5.75,-0.5,-10.5,-0.5,-9.5,-0.5,-3.75,-0.5,-0.25,-0.5,-9.,-0.5,-2.5
-0.4,-8.14,-0.4,-4.36,-0.4,-12.82,-0.4,-6.12,-0.4,-12.82,-0.4,-10.96,-0.4,-3.62,-0.4,-1.38,-0.4,-11.86,-0.4,-4.04
-0.3,-10.36,-0.3,-6.307,-0.3,-16.85,-0.3,-7.297,-0.3,-16.85,-0.3,-13.87,-0.3,-3.963,-0.3,-2.703,-0.3,-16.31,-0.3,-6.127
-0.2,-15.16,-0.2,-9.84,-0.2,-25.08,-0.2,-10.28,-0.2,-25.08,-0.2,-20.24,-0.2,-5.28,-0.2,-4.72,-0.2,-24.84,-0.2,-9.76
-0.1,-30.04,-0.1,-19.96,-0.1,-50.02,-0.1,-20.07,-0.1,-50.02,-0.1,-40.06,-0.1,-10.07,-0.1,-9.93,-0.1,-49.96,-0.1,-19.94
0,1.,0,1.,0,1.,0,1.,0,1.,0,1.,0,1.,0,1.,0,1.,0,1.
0.1,29.96,0.1,20.04,0.1,49.98,0.1,19.93,0.1,49.98,0.1,39.94,0.1,9.93,0.1,10.07,0.1,50.04,0.1,20.06
0.2,14.84,0.2,10.16,0.2,24.92,0.2,9.72,0.2,24.92,0.2,19.76,0.2,4.72,0.2,5.28,0.2,25.16,0.2,10.24
0.3,9.64,0.3,7.027,0.3,16.49,0.3,6.037,0.3,16.49,0.3,12.79,0.3,2.703,0.3,3.963,0.3,17.03,0.3,7.207
0.4,6.86,0.4,5.64,0.4,12.18,0.4,3.88,0.4,12.18,0.4,9.04,0.4,1.38,0.4,3.62,0.4,13.14,0.4,5.96
0.5,5.,0.5,5.,0.5,9.5,0.5,2.25,0.5,9.5,0.5,6.5,0.5,0.25,0.5,3.75,0.5,11.,0.5,5.5
0.6,3.56,0.6,4.773,0.6,7.613,0.6,0.8133,0.6,7.613,0.6,4.507,0.6,-0.8533,0.6,4.187,0.6,9.773,0.6,5.493
0.7,2.326,0.7,4.817,0.7,6.163,0.7,-0.5729,0.7,6.163,0.7,2.774,0.7,-2.001,0.7,4.859,0.7,9.103,0.7,5.797
0.8,1.19,0.8,5.06,0.8,4.97,0.8,-1.98,0.8,4.97,0.8,1.16,0.8,-3.23,0.8,5.73,0.8,8.81,0.8,6.34
0.9,0.09333,0.9,5.462,0.9,3.936,0.9,-3.448,0.9,3.936,0.9,-0.4156,0.9,-4.559,0.9,6.781,0.9,8.796,0.9,7.082
1.,-1.,1.,6.,1.,3.,1.,-5.,1.,3.,1.,-2.,1.,-6.,1.,8.,1.,9.,1.,8.
1.1,-2.113,1.1,6.658,1.1,2.125,1.1,-6.652,1.1,2.125,1.1,-3.624,1.1,-7.561,1.1,9.379,1.1,9.385,1.1,9.078
1.2,-3.26,1.2,7.427,1.2,1.287,1.2,-8.413,1.2,1.287,1.2,-5.307,1.2,-9.247,1.2,10.91,1.2,9.927,1.2,10.31
1.3,-4.452,1.3,8.298,1.3,0.4662,1.3,-10.29,1.3,0.4662,1.3,-7.063,1.3,-11.06,1.3,12.6,1.3,10.61,1.3,11.68
1.4,-5.697,1.4,9.269,1.4,-0.3486,1.4,-12.29,1.4,-0.3486,1.4,-8.903,1.4,-13.01,1.4,14.43,1.4,11.41,1.4,13.19
1.5,-7.,1.5,10.33,1.5,-1.167,1.5,-14.42,1.5,-1.167,1.5,-10.83,1.5,-15.08,1.5,16.42,1.5,12.33,1.5,14.83
1.6,-8.365,1.6,11.49,1.6,-1.995,1.6,-16.67,1.6,-1.995,1.6,-12.86,1.6,-17.3,1.6,18.55,1.6,13.37,1.6,16.61
1.7,-9.795,1.7,12.74,1.7,-2.839,1.7,-19.05,1.7,-2.839,1.7,-14.99,1.7,-19.64,1.7,20.82,1.7,14.5,1.7,18.52
1.8,-11.29,1.8,14.07,1.8,-3.702,1.8,-21.57,1.8,-3.702,1.8,-17.22,1.8,-22.12,1.8,23.24,1.8,15.74,1.8,20.55
1.9,-12.86,1.9,15.49,1.9,-4.588,1.9,-24.22,1.9,-4.588,1.9,-19.55,1.9,-24.74,1.9,25.8,1.9,17.07,1.9,22.71
2.,-14.5,2.,17.,2.,-5.5,2.,-27.,2.,-5.5,2.,-22.,2.,-27.5,2.,28.5,2.,18.5,2.,25.
2.1,-16.21,2.1,18.59,2.1,-6.439,2.1,-29.92,2.1,-6.439,2.1,-24.56,2.1,-30.39,2.1,31.35,2.1,20.02,2.1,27.41
2.2,-18.,2.2,20.27,2.2,-7.407,2.2,-32.97,2.2,-7.407,2.2,-27.22,2.2,-33.43,2.2,34.33,2.2,21.63,2.2,29.95
2.3,-19.86,2.3,22.03,2.3,-8.406,2.3,-36.16,2.3,-8.406,2.3,-30.,2.3,-36.6,2.3,37.46,2.3,23.33,2.3,32.61
2.4,-21.79,2.4,23.87,2.4,-9.437,2.4,-39.49,2.4,-9.437,2.4,-32.89,2.4,-39.9,2.4,40.74,2.4,25.12,2.4,35.39
2.5,-23.8,2.5,25.8,2.5,-10.5,2.5,-42.95,2.5,-10.5,2.5,-35.9,2.5,-43.35,2.5,44.15,2.5,27.,2.5,38.3
2.6,-25.89,2.6,27.81,2.6,-11.6,2.6,-46.55,2.6,-11.6,2.6,-39.02,2.6,-46.94,2.6,47.7,2.6,28.96,2.6,41.33
2.7,-28.05,2.7,29.9,2.7,-12.73,2.7,-50.29,2.7,-12.73,2.7,-42.26,2.7,-50.66,2.7,51.4,2.7,31.01,2.7,44.48
2.8,-30.29,2.8,32.07,2.8,-13.89,2.8,-54.17,2.8,-13.89,2.8,-45.61,2.8,-54.52,2.8,55.24,2.8,33.15,2.8,47.75
2.9,-32.61,2.9,34.33,2.9,-15.1,2.9,-58.18,2.9,-15.1,2.9,-49.08,2.9,-58.53,2.9,59.21,2.9,35.36,2.9,51.15
3.,-35.,3.,36.67,3.,-16.33,3.,-62.33,3.,-16.33,3.,-52.67,3.,-62.67,3.,63.33,3.,37.67,3.,54.67
3.1,-37.47,3.1,39.09,3.1,-17.61,3.1,-66.62,3.1,-17.61,3.1,-56.37,3.1,-66.95,3.1,67.59,3.1,40.05,3.1,58.31
3.2,-40.02,3.2,41.59,3.2,-18.92,3.2,-71.06,3.2,-18.92,3.2,-60.19,3.2,-71.37,3.2,71.99,3.2,42.52,3.2,62.07
3.3,-42.65,3.3,44.17,3.3,-20.26,3.3,-75.62,3.3,-20.26,3.3,-64.13,3.3,-75.93,3.3,76.53,3.3,45.08,3.3,65.95
3.4,-45.36,3.4,46.83,3.4,-21.65,3.4,-80.33,3.4,-21.65,3.4,-68.18,3.4,-80.63,3.4,81.21,3.4,47.71,3.4,69.95
3.5,-48.14,3.5,49.57,3.5,-23.07,3.5,-85.18,3.5,-23.07,3.5,-72.36,3.5,-85.46,3.5,86.04,3.5,50.43,3.5,74.07
3.6,-51.01,3.6,52.4,3.6,-24.53,3.6,-90.16,3.6,-24.53,3.6,-76.65,3.6,-90.44,3.6,91.,3.6,53.23,3.6,78.32
3.7,-53.95,3.7,55.3,3.7,-26.03,3.7,-95.29,3.7,-26.03,3.7,-81.06,3.7,-95.56,3.7,96.1,3.7,56.11,3.7,82.68
3.8,-56.97,3.8,58.29,3.8,-27.56,3.8,-100.6,3.8,-27.56,3.8,-85.59,3.8,-100.8,3.8,101.3,3.8,59.08,3.8,87.17
3.9,-60.07,3.9,61.35,3.9,-29.14,3.9,-106.,3.9,-29.14,3.9,-90.23,3.9,-106.2,3.9,106.7,3.9,62.12,3.9,91.77
4.,-63.25,4.,64.5,4.,-30.75,4.,-111.5,4.,-30.75,4.,-95.,4.,-111.7,4.,112.3,4.,65.25,4.,96.5
4.1,-66.51,4.1,67.73,4.1,-32.4,4.1,-117.2,4.1,-32.4,4.1,-99.88,4.1,-117.4,4.1,117.9,4.1,68.46,4.1,101.3
4.2,-69.85,4.2,71.04,4.2,-34.09,4.2,-123.,4.2,-34.09,4.2,-104.9,4.2,-123.2,4.2,123.7,4.2,71.75,4.2,106.3
4.3,-73.26,4.3,74.43,4.3,-35.82,4.3,-129.,4.3,-35.82,4.3,-110.,4.3,-129.2,4.3,129.7,4.3,75.12,4.3,111.4
4.4,-76.76,4.4,77.89,4.4,-37.58,4.4,-135.1,4.4,-37.58,4.4,-115.3,4.4,-135.3,4.4,135.7,4.4,78.58,4.4,116.6
4.5,-80.33,4.5,81.44,4.5,-39.39,4.5,-141.3,4.5,-39.39,4.5,-120.6,4.5,-141.5,4.5,142.,4.5,82.11,4.5,121.9
4.6,-83.99,4.6,85.07,4.6,-41.23,4.6,-147.7,4.6,-41.23,4.6,-126.1,4.6,-147.9,4.6,148.3,4.6,85.73,4.6,127.4
4.7,-87.72,4.7,88.79,4.7,-43.12,4.7,-154.2,4.7,-43.12,4.7,-131.7,4.7,-154.4,4.7,154.8,4.7,89.42,4.7,133.
4.8,-91.54,4.8,92.58,4.8,-45.04,4.8,-160.9,4.8,-45.04,4.8,-137.4,4.8,-161.1,4.8,161.5,4.8,93.2,4.8,138.7
4.9,-95.43,4.9,96.45,4.9,-47.,4.9,-167.7,4.9,-47.,4.9,-143.2,4.9,-167.9,4.9,168.3,4.9,97.06,4.9,144.5
5.,-99.4,5.,100.4,5.,-49.,5.,-174.6,5.,-49.,5.,-149.2,5.,-174.8,5.,175.2,5.,101.,5.,150.4
